key_pair,comfort_score,distance_score,dvorak7_score,engram_avg4_score,time_score,comfort_score_normalized,distance_score_normalized,dvorak7_score_normalized,engram_avg4_score_normalized,time_score_normalized
BI,-0.589028,108.633509,0.785714,0.845409,686.73881,0.607315,0.804693,0.112245,0.845409,0.171675
BJ,-0.448844,69.339743,0.857143,0.877591,965.260872,0.700771,0.513628,0.122449,0.877591,0.581266
BK,-0.521334,69.339743,0.857143,0.865773,876.018944,0.652444,0.513628,0.122449,0.865773,0.450028
BL,-0.555098,69.339743,0.785714,0.845409,742.938994,0.629935,0.513628,0.112245,0.845409,0.254322
BM,-0.685918,112.281564,0.785714,0.838318,890.521973,0.542721,0.831715,0.112245,0.838318,0.471356
BN,-0.836557,111.387335,0.714286,0.760091,914.733574,0.442295,0.825091,0.102041,0.760091,0.506961
BO,-0.689815,108.633509,0.714286,0.829591,743.66621,0.540123,0.804693,0.102041,0.829591,0.255391
BP,-0.776742,108.633509,0.714286,0.799136,707.318687,0.482172,0.804693,0.102041,0.799136,0.201939
BQ,-1.442261,108.633509,0.357143,0.492318,892.484793,0.038493,0.804693,0.05102,0.492318,0.474242
BR,-1.242302,105.306949,0.214286,0.224682,737.694279,0.171799,0.780051,0.030612,0.224682,0.246609
BS,-1.030731,69.339743,0.5,0.658864,715.099977,0.312846,0.513628,0.071429,0.658864,0.213382
BT,-1.442261,99.124116,0.142857,0.146455,730.98505,0.038493,0.734253,0.020408,0.146455,0.236743
BU,-0.589028,108.633509,0.785714,0.838318,736.403903,0.607315,0.804693,0.112245,0.838318,0.244712
BV,-1.095099,75.140782,0.5,0.429227,850.022141,0.269934,0.556598,0.071429,0.429227,0.411797
BW,-1.306993,108.633509,0.357143,0.522773,878.370848,0.128671,0.804693,0.05102,0.522773,0.453487
BX,-1.363758,112.281564,0.5,0.714097,874.633202,0.090828,0.831715,0.071429,0.714097,0.44799
BY,-0.836557,130.560655,0.714286,0.760091,716.6784,0.442295,0.967116,0.102041,0.760091,0.215704
BZ,-1.428568,112.281564,0.5,0.714097,1074.859632,0.047621,0.831715,0.071429,0.714097,0.742441
B[,-0.836557,116.541438,0.642857,0.760091,873.6,0.442295,0.86327,0.091837,0.760091,0.446471
C',-0.793852,80.941821,0.785714,0.823955,861.9,0.470765,0.599569,0.112245,0.823955,0.429265
"C,",-0.751148,85.883642,0.857143,0.892727,861.9,0.499235,0.636175,0.122449,0.892727,0.429265
C.,-0.785464,85.883642,0.785714,0.867909,861.9,0.476358,0.636175,0.112245,0.867909,0.429265
C/,-0.760624,85.883642,0.785714,0.867909,1061.9,0.492917,0.636175,0.112245,0.867909,0.723382
C;,-0.544293,42.941821,0.857143,0.892727,861.9,0.637138,0.318088,0.122449,0.892727,0.429265
CA,-0.995078,42.941821,0.571429,0.706182,861.9,0.336615,0.318088,0.081633,0.706182,0.429265
CB,-1.401832,112.281564,0.714286,0.772818,955.351792,0.065445,0.831715,0.102041,0.772818,0.566694
CC,-0.832472,42.941821,0.571429,0.483636,664.677475,0.445018,0.318088,0.081633,0.483636,0.139232
CD,-0.892973,42.941821,0.428571,0.441182,882.493094,0.404685,0.318088,0.061224,0.441182,0.459549
CE,-1.079536,81.97119,0.285714,0.300545,845.807335,0.28031,0.607194,0.040816,0.300545,0.405599
CF,-0.815792,42.941821,0.785714,0.759818,733.549637,0.456139,0.318088,0.112245,0.759818,0.240514
CG,-1.401832,80.941821,0.714286,0.637409,870.615959,0.065445,0.599569,0.102041,0.637409,0.442082
CH,-0.793852,80.941821,0.857143,0.823955,775.663924,0.470765,0.599569,0.122449,0.823955,0.302447
CI,-0.546323,82.235587,0.857143,0.914182,720.009953,0.635785,0.609152,0.122449,0.914182,0.220603
CJ,-0.406139,42.941821,0.928571,0.946364,908.998934,0.729241,0.318088,0.132653,0.946364,0.498528
CK,-0.478629,42.941821,0.928571,0.934545,640.803453,0.680914,0.318088,0.132653,0.934545,0.104123
CL,-0.512393,42.941821,0.857143,0.914182,676.800338,0.658405,0.318088,0.122449,0.914182,0.157059
CM,-0.643213,85.883642,0.857143,0.907091,663.5,0.571191,0.636175,0.122449,0.907091,0.1375
CN,-0.793852,84.989413,0.785714,0.823955,896.379347,0.470765,0.629551,0.112245,0.823955,0.47997
CO,-0.64711,82.235587,0.785714,0.898364,837.7043,0.568593,0.609152,0.112245,0.898364,0.393683
CP,-0.734038,82.235587,0.785714,0.867909,872.652291,0.510642,0.609152,0.112245,0.867909,0.445077
CQ,-1.401832,82.235587,0.428571,0.561091,902.88121,0.065445,0.609152,0.061224,0.561091,0.489531
CR,-1.185696,82.235587,0.642857,0.600273,758.480688,0.209536,0.609152,0.091837,0.600273,0.277177
CS,-0.938654,42.941821,0.428571,0.727636,638.646059,0.374231,0.318088,0.061224,0.727636,0.10095
CT,-1.401832,90.143516,0.571429,0.517136,845.131553,0.065445,0.66773,0.081633,0.517136,0.404605
CU,-0.546323,82.235587,0.857143,0.907091,702.303185,0.635785,0.609152,0.122449,0.907091,0.194564
CV,-0.751148,85.883642,0.785714,0.907091,900.408824,0.499235,0.636175,0.112245,0.907091,0.485895
